Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
149200160,Krościenko,Dunajec (214),,-,-,-,-,-,-,-,-2 cm,320 cm,390 cm,Dunajec do Popradu,małopolskie,nowotarski,-,-,-,-,-,-,49.4417,20.4294
153210010,Krukowo,Omulew (2654),,167 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-1 cm,-,-,Omulew,mazowieckie,przasnyski,-,-,57 cm,-,-,-,53.3092,21.1075
154190070,Krynica Morska,Zalew Wiślany (5119),,503 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-4 cm,0 cm,-,-,Zalew Wiślany do Nogatu,pomorskie,nowodworski,-,-,91 cm,-,-,-,54.3786,19.4453
150230030,Krzak,Łabuńka (242),,179 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-6 cm,-,-,Wieprz,lubelskie,zamojski,-,-,81 cm,-,-,-,50.8025,23.1044
149190350,Krzczonów,Krzczonówka (213836),,168 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,0 cm,-1 cm,0 cm,-,-,Raba,małopolskie,myślenicki,-,-,74 cm,-,-,-,49.7367,19.9539
150170210,Krzywa Góra,Budkowiczanka (1328),,-,-,-,-,-,-,-,-,170 cm,240 cm,Stobrawa,opolskie,namysłowski,-,-,-,-,-,-,50.8608,17.8786
149180010,Krzyżanowice,Odra (1),,178 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,0 cm,-6 cm,-9 cm,360 cm,500 cm,Odra od Olzy do Kłodnicy,śląskie,raciborski,-182 cm,-322 cm,128 cm,-,168 cm (śr, 2024-10-09 06:00 UTC)165 cm (cz, 2024-10-10 06:00 UTC)171 cm (pt, 2024-10-11 06:00 UTC),-,49.9936,18.2872
150160040,Kudowa-Zdrój-Zakrze,Klikawa (946),,244 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,2 cm,6 cm,280 cm,310 cm,Łaba,dolnośląskie,kłodzki,-36 cm,-66 cm,53 cm,-,-,-,50.4308,16.2439
153190130,Kuligi,Wel (286),,68 cm,wt, 2024-10-08 18:40 UTC,,-,-1 cm,0 cm,-,0 cm,150 cm,180 cm,Drwęca,warmińsko-mazurskie,nowomiejski,-82 cm,-112 cm,61 cm,-,69 cm (śr, 2024-10-09 06:00 UTC)68 cm (cz, 2024-10-10 06:00 UTC)68 cm (pt, 2024-10-11 06:00 UTC),-,53.4297,19.6908
151180030,Kuźnica Skakawska,Niesób (1842),,52 cm,wt, 2024-10-08 18:40 UTC,,-1 cm,-1 cm,-1 cm,-2 cm,-1 cm,-,-,Prosna,łódzkie,wieruszowski,-,-,53 cm,-,-,-,51.2797,18.1317
150190210,Kuźnica Sulikowska,Mitręga (21234),,108 cm,wt, 2024-10-08 18:40 UTC,,0 cm,0 cm,0 cm,-1 cm,-3 cm,210 cm,260 cm,Przemsza,śląskie,będziński,-102 cm,-152 cm,44 cm,-,-,-,50.4531,19.2728
152190050,Kwiatkówek,Bzura (272),,129 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-2 cm,200 cm,250 cm,Bzura,łódzkie,łęczycki,-71 cm,-121 cm,115 cm,-,-,-,52.0625,19.2175
153180130,Kwidzyn,Liwa (522),,120 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-1 cm,300 cm,340 cm,Nogat,pomorskie,kwidzyński,-180 cm,-220 cm,59 cm,-,-,-,53.7222,18.9114
152170130,Ląd,Warta (18),,206 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-2 cm,-1 cm,-1 cm,330 cm,370 cm,Warta od Widawki do Prosny,wielkopolskie,słupecki,-124 cm,-164 cm,91 cm,-,204 cm (śr, 2024-10-09 06:00 UTC)203 cm (cz, 2024-10-10 06:00 UTC)202 cm (pt, 2024-10-11 06:00 UTC),-,52.2036,17.8861
150160230,Lądek-Zdrój,Biała Lądecka (1216),,52 cm,wt, 2024-10-08 18:50 UTC,,0 cm,1 cm,0 cm,1 cm,1 cm,80 cm,120 cm,Nysa Kłodzka,dolnośląskie,kłodzki,-28 cm,-68 cm,49 cm,-,-,-,50.3467,16.8703
150180070,Lenartowice,Kłodnica (116),,142 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-,-,210 cm,260 cm,Kłodnica,opolskie,kędzierzyńsko-kozielski,-68 cm,-118 cm,102 cm,-,-,-,50.3575,18.2356
151150060,Leśna,Kwisa (166),,33 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,21 cm,0 cm,0 cm,70 cm,100 cm,Kwisa,dolnośląskie,lubański,-37 cm,-67 cm,33 cm,-,-,-,51.0283,15.2867
150190200,Lgota Nadwarcie,Warta (18),,95 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-1 cm,-,-,Warta do Widawki,śląskie,myszkowski,-,-,24 cm,-,-,-,50.6183,19.2594
151220090,Lubartów,Wieprz (24),,219 cm,wt, 2024-10-08 18:50 UTC,,0 cm,1 cm,1 cm,3 cm,0 cm,430 cm,480 cm,Wieprz,lubelskie,lubartowski,-211 cm,-261 cm,57 cm,-,220 cm (śr, 2024-10-09 06:00 UTC)224 cm (cz, 2024-10-10 06:00 UTC)224 cm (pt, 2024-10-11 06:00 UTC),-,51.4981,22.6436
152200100,Luberadz,Łydynia (2686),,173 cm,wt, 2024-10-08 18:40 UTC,,0 cm,0 cm,0 cm,1 cm,2 cm,-,-,Wkra,mazowieckie,ciechanowski,-,-,61 cm,-,-,-,52.7614,20.4772
151150190,Lubiatów,Obrzyca (156),,330 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,-1 cm,0 cm,-1 cm,-,-,Obrzyca,lubuskie,nowosolski,-,-,68 cm,-,-,-,51.9211,15.9706
151220070,Lublin,Bystrzyca (246),,277 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,-1 cm,-1 cm,0 cm,-,-,Bystrzyca,lubelskie,Lublin,-,-,79 cm,-,-,-,51.2178,22.5422
149190390,Ludźmierz,Wielki Rogoźnik (214116),,178 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-2 cm,280 cm,350 cm,Dunajec do Popradu,małopolskie,nowotarski,-102 cm,-172 cm,23 cm,-,-,-,49.4594,19.9867
150190130,Łagisza,Przemsza (212),,118 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,0 cm,-1 cm,200 cm,240 cm,Przemsza,śląskie,będziński,-82 cm,-122 cm,20 cm,-,-,-,50.3503,19.1856
151190030,Łask,Grabia (1828),,124 cm,wt, 2024-10-08 18:40 UTC,,0 cm,-1 cm,-1 cm,-1 cm,-1 cm,160 cm,180 cm,Widawka,łódzkie,łaski,-36 cm,-56 cm,112 cm,-,-,-,51.5969,19.1219
149180030,Łaziska,Olza (114),,143 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-2 cm,-2 cm,-5 cm,-,-,Olza,śląskie,wodzisławski,-,-,53 cm,-,142 cm (śr, 2024-10-09 06:00 UTC)142 cm (cz, 2024-10-10 06:00 UTC)142 cm (pt, 2024-10-11 06:00 UTC),-,49.9244,18.4431
154170100,Łeba,Morze Bałtyckie (0),,497 cm,wt, 2024-10-08 18:50 UTC,,-3 cm,-2 cm,1 cm,2 cm,-5 cm,570 cm,610 cm,Łeba,pomorskie,lęborski,-73 cm,-113 cm,94 cm,-,-,-,54.7633,17.5506
149190140,Łękawica,Łękawka (213278),,112 cm,wt, 2024-10-08 18:40 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,300 cm,350 cm,Soła,śląskie,żywiecki,-188 cm,-238 cm,-,-,-,-,49.7117,19.2622
153150080,Łobez,Rega (42),,64 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-2 cm,4 cm,-4 cm,-,-,Rega,zachodniopomorskie,stargardzki,-,-,32 cm,-,-,-,53.6289,15.6133
152199992,Łowicz,Bzura (272),,210 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,1 cm,0 cm,-1 cm,350 cm,400 cm,Bzura,łódzkie,łowicki,-140 cm,-190 cm,66 cm,-,-,-,52.11,19.9603
151150090,Łozy,Kwisa (166),,207 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-2 cm,-2 cm,-4 cm,6 cm,280 cm,330 cm,Kwisa,lubuskie,żagański,-73 cm,-123 cm,123 cm,-,203 cm (śr, 2024-10-09 06:00 UTC)196 cm (cz, 2024-10-10 06:00 UTC)196 cm (pt, 2024-10-11 06:00 UTC),-,51.4914,15.3686
154170080,Łupawa,Łupawa (474),,57 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,130 cm,160 cm,Łupawa,pomorskie,słupski,-73 cm,-103 cm,34 cm,-,-,-,54.4194,17.4156
149200100,Łysa Polana,Białka (214154),,176 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-1 cm,-2 cm,220 cm,260 cm,Dunajec do Popradu,małopolskie,tatrzański,-44 cm,-84 cm,58 cm,-,-,-,49.2636,20.115
152180100,Łysek,Noteć (188),,148 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-,1 cm,-,-,Noteć do Noteci Zachodniej,wielkopolskie,koniński,-,-,86 cm,-,-,-,52.4067,18.5039
152140080,Maczków,Ilanka (178),,56 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-1 cm,-,-,Odra od Bobru do Warty,lubuskie,słubicki,-,-,49 cm,-,-,-,52.275,14.7444
152230070,Malowa Góra,Krzna (267144),,-,-,-,-,-,-,-,-3 cm,310 cm,350 cm,Krzna,lubelskie,bialski,-,-,-,-,-,-,52.1036,23.4675
150230080,Michalów,Wieprz (24),,57 cm,wt, 2024-10-08 18:50 UTC,,1 cm,1 cm,0 cm,0 cm,0 cm,140 cm,190 cm,Wieprz,lubelskie,zamojski,-83 cm,-133 cm,25 cm,-,-,-,50.7342,23.0206
152150180,Mierzęcin,Mierzęcka Struga (18888),,64 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-3 cm,1 cm,0 cm,-1 cm,-,-,Drawa,lubuskie,strzelecko-drezdenecki,-,-,55 cm,-,-,-,52.9558,15.8294
150160160,Mietków,Bystrzyca (134),,193 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-1 cm,0 cm,280 cm,300 cm,Bystrzyca,dolnośląskie,wrocławski,-87 cm,-107 cm,77 cm,-,-,-,50.9683,16.6506
152150200,Międzychód,Warta (18),,146 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-1 cm,380 cm,430 cm,Warta od Wełny do Noteci,wielkopolskie,międzychodzki,-234 cm,-284 cm,88 cm,-,146 cm (śr, 2024-10-09 06:00 UTC)147 cm (cz, 2024-10-10 06:00 UTC)148 cm (pt, 2024-10-11 06:00 UTC),-,52.6042,15.8861
151210110,Mika,Okrzejka (2532),,249 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-2 cm,0 cm,-,-,Wisła od Wieprza do Narwi,mazowieckie,garwoliński,-,-,49 cm,-,-,-,51.6733,21.7561
151180040,Mirków,Prosna (184),,170 cm,wt, 2024-10-08 18:40 UTC,,0 cm,1 cm,2 cm,-1 cm,-6 cm,230 cm,270 cm,Prosna,łódzkie,wieruszowski,-60 cm,-100 cm,88 cm,-,165 cm (śr, 2024-10-09 06:00 UTC)158 cm (cz, 2024-10-10 06:00 UTC)156 cm (pt, 2024-10-11 06:00 UTC),-,51.3156,18.1547
150150020,Mirsk,Czarny Potok (16632),,115 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-1 cm,-3 cm,160 cm,200 cm,Kwisa,dolnośląskie,lwówecki,-45 cm,-85 cm,40 cm,-,-,-,50.9867,15.3839
150200010,Mniszek,Nida (216),,210 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-2 cm,-4 cm,-1 cm,270 cm,310 cm,Nida,świętokrzyskie,jędrzejowski,-60 cm,-100 cm,98 cm,-,-,-,50.7275,20.285
150210030,Mocha,Łagowica (217832),,292 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-2 cm,0 cm,370 cm,420 cm,Czarna,świętokrzyskie,kielecki,-78 cm,-128 cm,122 cm,-,-,-,50.6706,21.0803
153150020,Morzyca,Mała Ina (1986),,80 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,0 cm,-,-,Ina,zachodniopomorskie,-,-,-,63 cm,-,-,-,53.2086,15.1469
152160130,Mosina,Kanał Mosiński (1856),,45 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,160 cm,250 cm,Kanał Mosiński,wielkopolskie,poznański,-115 cm,-205 cm,45 cm,-,44 cm (śr, 2024-10-09 06:00 UTC)44 cm (cz, 2024-10-10 06:00 UTC)44 cm (pt, 2024-10-11 06:00 UTC),-,52.2483,16.8564
150160130,Mościsko,Piława (1344),,79 cm,wt, 2024-10-08 18:40 UTC,,0 cm,-,-1 cm,-2 cm,-9 cm,220 cm,250 cm,Bystrzyca,dolnośląskie,dzierżoniowski,-141 cm,-171 cm,69 cm,-,81 cm (śr, 2024-10-09 06:00 UTC)80 cm (cz, 2024-10-10 06:00 UTC)79 cm (pt, 2024-10-11 06:00 UTC),-,50.7819,16.5842
153170110,Motyl,Sępolna (29274),,478 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-1 cm,-,-,Brda,kujawsko-pomorskie,bydgoski,-,-,32 cm,-,-,-,53.4281,17.8267
150190220,Mstów,Warta (18),,87 cm,wt, 2024-10-08 18:50 UTC,,1 cm,3 cm,4 cm,3 cm,-2 cm,120 cm,170 cm,Warta do Widawki,śląskie,częstochowski,-33 cm,-83 cm,45 cm,-,86 cm (śr, 2024-10-09 06:00 UTC)85 cm (cz, 2024-10-10 06:00 UTC)85 cm (pt, 2024-10-11 06:00 UTC),-,50.8311,19.2889
149200300,Muszyna,Poprad (2142),,106 cm,wt, 2024-10-08 18:50 UTC,,1 cm,2 cm,1 cm,0 cm,-2 cm,210 cm,290 cm,Poprad,małopolskie,nowosądecki,-104 cm,-184 cm,20 cm,-,-,-,49.3394,20.8919
149200290,Muszyna-Milik,Poprad (2142),,105 cm,wt, 2024-10-08 18:50 UTC,,1 cm,1 cm,1 cm,-1 cm,-3 cm,260 cm,350 cm,Poprad,małopolskie,nowosądecki,-155 cm,-245 cm,43 cm,-,-,-,49.35,20.8853
152140120,Myślibórz,Myśla (1912),,78 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,0 cm,-,-,Myśla,zachodniopomorskie,myśliborski,-,-,50 cm,-,-,-,52.9214,14.8622
151170090,Namysłów,Widawa (136),,156 cm,wt, 2024-10-08 18:50 UTC,,0 cm,1 cm,1 cm,11 cm,-14 cm,210 cm,250 cm,Widawa,opolskie,namysłowski,-54 cm,-94 cm,69 cm,-,-,-,51.0803,17.71
150180090,Nędza,Sumina (11568),,55 cm,wt, 2024-10-08 18:50 UTC,,-2 cm,-1 cm,-1 cm,-1 cm,-8 cm,-,-,Odra od Olzy do Kłodnicy,śląskie,raciborski,-,-,34 cm,-,-,-,50.1578,18.3106
150230010,Nielisz,Wieprz (24),,99 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-5 cm,-3 cm,10 cm,14 cm,200 cm,230 cm,Wieprz,lubelskie,zamojski,-101 cm,-131 cm,121 cm,-,-,-,50.8086,23.0411
149220210,Nienowice,Wisznia (2252),,107 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-3 cm,-5 cm,-8 cm,-3 cm,340 cm,460 cm,San od Wiaru do Wisłoka,podkarpackie,jarosławski,-233 cm,-353 cm,61 cm,-,-,-,49.9378,22.9169
150210080,Nietulisko Duże,Świślina (2348),,230 cm,wt, 2024-10-08 18:50 UTC,,-17 cm,12 cm,-19 cm,7 cm,-4 cm,460 cm,510 cm,Kamienna,świętokrzyskie,ostrowiecki,-230 cm,-280 cm,30 cm,-,-,-,50.9789,21.2419
150190100,Niwka,Biała Przemsza (2128),,184 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,0 cm,-1 cm,260 cm,280 cm,Przemsza,śląskie,Sosnowiec,-76 cm,-96 cm,14 cm,-,-,-,50.2358,19.1608
150180210,Niwki,Liswarta (1816),,136 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-3 cm,200 cm,250 cm,Warta do Widawki,śląskie,lubliniecki,-64 cm,-114 cm,42 cm,-,-,-,50.8208,18.6625
154190130,Nowa Pasłęka,Zalew Wiślany (5119),,499 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,-1 cm,-5 cm,-2 cm,590 cm,630 cm,Zalew Wiślany od Elbląga do Pasłęki,warmińsko-mazurskie,braniewski,-91 cm,-131 cm,79 cm,-,-,-,54.4258,19.7461
152170060,Nowa Wieś Podgórna,Warta (18),,234 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,-1 cm,-1 cm,0 cm,430 cm,480 cm,Warta od Prosny do Wełny,wielkopolskie,wrzesiński,-196 cm,-246 cm,127 cm,235 cm (śr, 2024-10-09 06:00 UTC)234 cm (cz, 2024-10-10 06:00 UTC)233 cm (pt, 2024-10-11 06:00 UTC),234 cm (śr, 2024-10-09 06:00 UTC)232 cm (cz, 2024-10-10 06:00 UTC)231 cm (pt, 2024-10-11 06:00 UTC),-,52.1417,17.59
154190050,Nowakowo,Zalew Wiślany (5119),,516 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-2 cm,0 cm,-6 cm,3 cm,590 cm,630 cm,Elbląg,warmińsko-mazurskie,elbląski,-74 cm,-114 cm,141 cm,-,-,-,54.2306,19.3631
152210130,Nowe Kaczkowo,Brok (2671476),,144 cm,wt, 2024-10-08 18:50 UTC,,1 cm,1 cm,2 cm,5 cm,5 cm,-,-,Bug od Nurca do Liwca,mazowieckie,ostrowski,-,-,71 cm,-,-,-,52.7283,21.9556
151200090,Nowe Miasto,Pilica (254),,57 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,10 cm,160 cm,200 cm,Pilica,mazowieckie,grójecki,-103 cm,-143 cm,23 cm,-,-,-,51.6092,20.5733
153190090,Nowe Miasto Lubawskie,Drwęca (28),,148 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-4 cm,-7 cm,-7 cm,0 cm,330 cm,340 cm,Drwęca,warmińsko-mazurskie,nowomiejski,-182 cm,-192 cm,98 cm,-,153 cm (śr, 2024-10-09 06:00 UTC)153 cm (cz, 2024-10-10 06:00 UTC)152 cm (pt, 2024-10-11 06:00 UTC),-,53.4222,19.59
154190110,Nowe Sadłuki,Bauda (558),,87 cm,wt, 2024-10-08 18:50 UTC,,0 cm,1 cm,1 cm,1 cm,-2 cm,300 cm,390 cm,Zalew Wiślany od Elbląga do Pasłęki,warmińsko-mazurskie,elbląski,-213 cm,-303 cm,53 cm,-,-,-,54.2603,19.7117
151150040,Nowogród Bobrzański,Bóbr (16),,159 cm,wt, 2024-10-08 18:50 UTC,,-4 cm,-11 cm,-11 cm,-11 cm,2 cm,250 cm,300 cm,Bóbr,lubuskie,zielonogórski,-91 cm,-141 cm,49 cm,-,169 cm (śr, 2024-10-09 06:00 UTC)167 cm (cz, 2024-10-10 06:00 UTC)166 cm (pt, 2024-10-11 06:00 UTC),-,51.7986,15.2369
153230170,Nowosiółki,Supraśl (2616),,145 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,1 cm,5 cm,200 cm,240 cm,Supraśl,podlaskie,białostocki,-55 cm,-95 cm,65 cm,-,-,-,53.1733,23.53
154190040,Nowotki,Nogat (52),,502 cm,wt, 2024-10-08 18:50 UTC,,-3 cm,0 cm,0 cm,-4 cm,2 cm,570 cm,590 cm,Nogat,warmińsko-mazurskie,elbląski,-68 cm,-88 cm,105 cm,-,-,-,54.2525,19.3
154190010,Nowy Dwór Gdański,Tuja (5146),,512 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-4 cm,3 cm,570 cm,590 cm,Zalew Wiślany do Nogatu,pomorskie,nowodworski,-58 cm,-78 cm,122 cm,-,-,-,54.2144,19.1131
149200240,Nowy Sącz,Dunajec (214),,74 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,-2 cm,250 cm,380 cm,Dunajec od Popradu do ujścia,małopolskie,Nowy Sącz,-176 cm,-306 cm,15 cm,-,-,-,49.6272,20.6872
149200030,Nowy Targ,Dunajec (214),,123 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,0 cm,-1 cm,-1 cm,260 cm,350 cm,Dunajec do Popradu,małopolskie,nowotarski,-137 cm,-227 cm,21 cm,-,122 cm (śr, 2024-10-09 06:00 UTC)122 cm (cz, 2024-10-10 06:00 UTC)122 cm (pt, 2024-10-11 06:00 UTC),-,49.4844,20.0311
150170060,Nysa,Nysa Kłodzka (12),,197 cm,wt, 2024-10-08 18:40 UTC,,1 cm,0 cm,1 cm,0 cm,-1 cm,380 cm,450 cm,Nysa Kłodzka,opolskie,nyski,-183 cm,-253 cm,137 cm,-,-,-,50.4811,17.3417
152160100,Oborniki,Warta (18),,225 cm,wt, 2024-10-08 18:50 UTC,,0 cm,2 cm,2 cm,0 cm,1 cm,420 cm,560 cm,Warta od Prosny do Wełny,wielkopolskie,obornicki,-195 cm,-335 cm,122 cm,225 cm (śr, 2024-10-09 06:00 UTC)225 cm (cz, 2024-10-10 06:00 UTC)224 cm (pt, 2024-10-11 06:00 UTC),225 cm (śr, 2024-10-09 06:00 UTC)225 cm (cz, 2024-10-10 06:00 UTC)224 cm (pt, 2024-10-11 06:00 UTC),-,52.6436,16.8136
154170230,Obrowo,Łupawa (474),,-,-,-,-,-,-,-,-,-,-,Łupawa,pomorskie,bytowski,-,-,-,-,-,-,54.2628,17.5992
151170080,Odolanów,Kuroch (1414),,124 cm,wt, 2024-10-08 18:50 UTC,,1 cm,2 cm,1 cm,0 cm,-3 cm,160 cm,190 cm,Barycz,wielkopolskie,ostrowski,-36 cm,-66 cm,60 cm,-,-,-,51.5783,17.6703
151200080,Odrzywół,Drzewiczka (2548),,131 cm,wt, 2024-10-08 18:50 UTC,,0 cm,1 cm,1 cm,5 cm,-5 cm,220 cm,260 cm,Drzewiczka,mazowieckie,przysuski,-89 cm,-129 cm,27 cm,-,-,-,51.5194,20.5628
150190330,Ojców,Prądnik (21374),,112 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,0 cm,0 cm,-,170 cm,210 cm,Wisła od Przemszy do Dunajca,małopolskie,krakowski,-58 cm,-98 cm,48 cm,-,-,-,50.1947,19.8325
153200070,Olsztyn-Kortowo,Łyna (584),,90 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,0 cm,-1 cm,140 cm,160 cm,Łyna,warmińsko-mazurskie,Olsztyn,-50 cm,-70 cm,84 cm,-,-,-,53.7564,20.4717
149180300,Olza,Odra (1),,254 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,0 cm,-2 cm,-5 cm,500 cm,610 cm,Odra od Olzy do Kłodnicy,śląskie,wodzisławski,-246 cm,-356 cm,177 cm,-,245 cm (śr, 2024-10-09 06:00 UTC)241 cm (cz, 2024-10-10 06:00 UTC)246 cm (pt, 2024-10-11 06:00 UTC),brak zjawisk,49.9547,18.3264
150170030,Oława,Oława (1334),,143 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,0 cm,-3 cm,-6 cm,-7 cm,200 cm,250 cm,Oława,dolnośląskie,oławski,-57 cm,-107 cm,80 cm,-,143 cm (śr, 2024-10-09 06:00 UTC)143 cm (cz, 2024-10-10 06:00 UTC)143 cm (pt, 2024-10-11 06:00 UTC),-,50.9478,17.2928
150170040,Oława,Odra (1),,305 cm,wt, 2024-10-08 18:50 UTC,,7 cm,15 cm,-16 cm,-59 cm,2 cm,500 cm,560 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,oławski,-195 cm,-255 cm,235 cm,-,287 cm (śr, 2024-10-09 06:00 UTC)276 cm (cz, 2024-10-10 06:00 UTC)275 cm (pt, 2024-10-11 06:00 UTC),-,50.9464,17.3064
151180010,Ołobok,Ołobok (1844),,81 cm,wt, 2024-10-08 18:40 UTC,,-1 cm,-1 cm,-3 cm,-4 cm,-4 cm,220 cm,260 cm,Prosna,wielkopolskie,ostrowski,-139 cm,-179 cm,51 cm,-,-,-,51.6394,18.0689
151200040,Opoczno,Drzewiczka (2548),,248 cm,wt, 2024-10-08 18:50 UTC,,-6 cm,-13 cm,-8 cm,-8 cm,-1 cm,-,-,Drzewiczka,łódzkie,opoczyński,-,-,38 cm,-,-,-,51.3814,20.3008
150170290,Opole-Groszowice,Odra (1),,409 cm,wt, 2024-10-08 18:50 UTC,,5 cm,0 cm,2 cm,-2 cm,-3 cm,500 cm,600 cm,Odra od Kłodnicy do Małej Panwi,opolskie,-,-91 cm,-191 cm,118 cm,-,409 cm (śr, 2024-10-09 06:00 UTC)408 cm (cz, 2024-10-10 06:00 UTC)408 cm (pt, 2024-10-11 06:00 UTC),-,50.6342,17.9383
151160140,Osetno,Barycz (14),,252 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-2 cm,-3 cm,260 cm,330 cm,Barycz,dolnośląskie,górowski,-8 cm,-78 cm,164 cm,-,253 cm (śr, 2024-10-09 06:00 UTC)252 cm (cz, 2024-10-10 06:00 UTC)250 cm (pt, 2024-10-11 06:00 UTC),-,51.6319,16.46
154190030,Osłonka,Zalew Wiślany (5119),,506 cm,wt, 2024-10-08 18:50 UTC,,-1 cm,-1 cm,0 cm,-4 cm,2 cm,570 cm,590 cm,Zalew Wiślany do Nogatu,pomorskie,nowodworski,-64 cm,-84 cm,131 cm,-,-,-,54.265,19.245
153190170,Ostróda,Jez. Drwęckie (Drwęca) (28),,447 cm,wt, 2024-10-08 18:40 UTC,,0 cm,-1 cm,3 cm,0 cm,1 cm,500 cm,510 cm,Drwęca,warmińsko-mazurskie,ostródzki,-53 cm,-63 cm,68 cm,-,-,-,53.7028,19.9594
151150020,Ostróżno,Witka (1742),,134 cm,wt, 2024-10-08 18:50 UTC,,-3 cm,-5 cm,4 cm,-3 cm,-5 cm,250 cm,300 cm,Nysa Łużycka,dolnośląskie,zgorzelecki,-116 cm,-166 cm,102 cm,-,-,-,51.0208,15.0328
150180050,Ozimek,Mała Panew (118),,84 cm,wt, 2024-10-08 18:50 UTC,,0 cm,-1 cm,-1 cm,-1 cm,-1 cm,210 cm,250 cm,Mała Panew,opolskie,opolski,-126 cm,-166 cm,61 cm,-,-,-,50.6792,18.2039
152180030,Pakość,Noteć (188),,187 cm,wt, 2024-10-08 18:50 UTC,,0 cm,0 cm,0 cm,-1 cm,0 cm,260 cm,280 cm,Noteć do Noteci Zachodniej,kujawsko-pomorskie,inowrocławski,-73 cm,-93 cm,55 cm,-,-,-,52.8,18.0931
