Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
151170040,Łąki,Barycz (14),,228 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,1 cm,1 cm,-2 cm,280 cm,310 cm,Barycz,dolnośląskie,milicki,-52 cm,-82 cm,184 cm,-,225 cm (wt, 2024-10-08 06:00 UTC)220 cm (śr, 2024-10-09 06:00 UTC)217 cm (cz, 2024-10-10 06:00 UTC),-,51.4931,17.1464
151160150,Malczyce,Odra (1),,317 cm,pn, 2024-10-07 20:20 UTC,,-,-6 cm,8 cm,31 cm,23 cm,500 cm,600 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,średzki,-183 cm,-283 cm,327 cm,-,315 cm (wt, 2024-10-08 06:00 UTC)299 cm (śr, 2024-10-09 06:00 UTC)291 cm (cz, 2024-10-10 06:00 UTC),-,51.2261,16.4928
151220050,Młyniska,Minina (2492),,173 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-1 cm,16 cm,-,-,Wieprz,lubelskie,lubartowski,-,-,85 cm,-,-,-,51.5428,22.3867
153170100,Nakło-Zachód,Noteć (188),,299 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-2 cm,-3 cm,1 cm,320 cm,360 cm,Noteć od Noteci Zachodniej do Łobżonki,kujawsko-pomorskie,nakielski,-21 cm,-61 cm,127 cm,-,-,-,53.1236,17.5622
151180090,Niechmirów,Oleśnica (1818),,115 cm,pn, 2024-10-07 20:10 UTC,,0 cm,-,0 cm,0 cm,3 cm,170 cm,220 cm,Warta do Widawki,łódzkie,sieradzki,-55 cm,-105 cm,59 cm,-,-,-,51.3881,18.7622
150170120,Niemodlin,Ścinawa Niemodlińska (128),,290 cm,pn, 2024-10-07 20:20 UTC,,-,-3 cm,-7 cm,-7 cm,-1 cm,320 cm,350 cm,Nysa Kłodzka,opolskie,opolski,-30 cm,-60 cm,86 cm,-,-,-,50.6456,17.6244
152150050,Nietków,Odra (1),,336 cm,pn, 2024-10-07 20:20 UTC,,-,-2 cm,-1 cm,-4 cm,-10 cm,370 cm,400 cm,Odra od Baryczy do Bobru,lubuskie,zielonogórski,-34 cm,-64 cm,246 cm,334 cm (wt, 2024-10-08 06:00 UTC)336 cm (śr, 2024-10-09 06:00 UTC)342 cm (cz, 2024-10-10 06:00 UTC),334 cm (wt, 2024-10-08 06:00 UTC)338 cm (śr, 2024-10-09 06:00 UTC)350 cm (cz, 2024-10-10 06:00 UTC),-,52.0464,15.3475
151150150,Nowa Sól,Odra (1),,326 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,2 cm,2 cm,-8 cm,400 cm,450 cm,Odra od Baryczy do Bobru,lubuskie,nowosolski,-74 cm,-124 cm,260 cm,328 cm (wt, 2024-10-08 06:00 UTC)334 cm (śr, 2024-10-09 06:00 UTC),329 cm (wt, 2024-10-08 06:00 UTC)340 cm (śr, 2024-10-09 06:00 UTC)346 cm (cz, 2024-10-10 06:00 UTC),-,51.8022,15.7217
150230050,Orłów Drewniany,Wolica (2432),,265 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-1 cm,-2 cm,-8 cm,-,-,Wieprz,lubelskie,krasnostawski,-,-,81 cm,-,-,-,50.915,23.1967
151160140,Osetno,Barycz (14),,255 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-1 cm,-2 cm,-3 cm,260 cm,330 cm,Barycz,dolnośląskie,górowski,-5 cm,-75 cm,167 cm,-,255 cm (wt, 2024-10-08 06:00 UTC)256 cm (śr, 2024-10-09 06:00 UTC)256 cm (cz, 2024-10-10 06:00 UTC),-,51.6319,16.46
152180130,Otłoczynek,Tążyna (2796),,79 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,1 cm,2 cm,2 cm,-,-,Wisła od Zgłowiączki do Drwęcy,kujawsko-pomorskie,aleksandrowski,-,-,59 cm,-,-,-,52.8975,18.69
152140130,Połęcko,Odra (1),,274 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-3 cm,-6 cm,-13 cm,310 cm,350 cm,Odra od Bobru do Warty,lubuskie,krośnieński,-36 cm,-76 cm,263 cm,275 cm (wt, 2024-10-08 06:00 UTC)272 cm (śr, 2024-10-09 06:00 UTC)278 cm (cz, 2024-10-10 06:00 UTC),273 cm (wt, 2024-10-08 06:00 UTC)270 cm (śr, 2024-10-09 06:00 UTC)275 cm (cz, 2024-10-10 06:00 UTC),-,52.0525,14.8922
152230020,Porosiuki,Krzna (267144),,180 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,0 cm,-,-,Krzna,lubelskie,bialski,-,-,110 cm,-,-,-,52.02,23.0586
150170110,Prudnik,Prudnik (11764),,136 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-2 cm,-2 cm,-8 cm,180 cm,230 cm,Odra od Kłodnicy do Małej Panwi,opolskie,prudnicki,-44 cm,-94 cm,66 cm,-,-,-,50.3194,17.5886
153160210,Ptusza,Gwda (1886),,210 cm,pn, 2024-10-07 20:20 UTC,,-,11 cm,14 cm,12 cm,11 cm,240 cm,290 cm,Gwda,wielkopolskie,złotowski,-30 cm,-80 cm,110 cm,-,-,-,53.3667,16.7964
150170180,Racławice Śląskie,Osobłoga (1176),,224 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-2 cm,-3 cm,-17 cm,300 cm,350 cm,Odra od Kłodnicy do Małej Panwi,opolskie,prudnicki,-76 cm,-126 cm,100 cm,-,-,-,50.3153,17.7889
151160160,Rydzyna,Polski Rów (148),,152 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-1 cm,-1 cm,-1 cm,200 cm,240 cm,Barycz,wielkopolskie,leszczyński,-48 cm,-88 cm,85 cm,-,-,-,51.7828,16.6689
153200050,Sarnowo,Szkotówka (2682),,122 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-1 cm,-,-,Wkra,warmińsko-mazurskie,nidzicki,-,-,87 cm,-,-,-,53.2689,20.2464
151220110,Siemień,Tyśmienica (248),,142 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,3 cm,13 cm,3 cm,-,-,Tyśmienica,lubelskie,parczewski,-,-,129 cm,-,-,-,51.6431,22.7783
150170140,Skorogoszcz,Nysa Kłodzka (12),,174 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,0 cm,0 cm,1 cm,250 cm,280 cm,Nysa Kłodzka,opolskie,opolski,-76 cm,-106 cm,173 cm,-,171 cm (wt, 2024-10-08 06:00 UTC)170 cm (śr, 2024-10-09 06:00 UTC)170 cm (cz, 2024-10-10 06:00 UTC),-,50.7619,17.675
152140050,Słubice,Odra (1),,318 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-2 cm,-2 cm,-29 cm,360 cm,410 cm,Odra od Bobru do Warty,lubuskie,słubicki,-42 cm,-92 cm,254 cm,314 cm (wt, 2024-10-08 06:00 UTC)306 cm (śr, 2024-10-09 06:00 UTC)303 cm (cz, 2024-10-10 06:00 UTC),313 cm (wt, 2024-10-08 06:00 UTC)304 cm (śr, 2024-10-09 06:00 UTC)302 cm (cz, 2024-10-10 06:00 UTC),-,52.3481,14.5556
153230140,Sokołda,Sokołda (26162),,197 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,1 cm,8 cm,250 cm,300 cm,Supraśl,podlaskie,białostocki,-53 cm,-103 cm,101 cm,-,-,-,53.2472,23.4764
150150200,Sosnówka,Sośniak (16288832),,22 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-1 cm,60 cm,80 cm,Bóbr,dolnośląskie,karkonoski,-38 cm,-58 cm,20 cm,-,-,-,50.8222,15.7192
152150020,Stary Raduszec,Bóbr (16),,376 cm,pn, 2024-10-07 20:20 UTC,,-,2 cm,-,-3 cm,-7 cm,450 cm,500 cm,Bóbr,lubuskie,krośnieński,-74 cm,-124 cm,252 cm,-,379 cm (wt, 2024-10-08 06:00 UTC)378 cm (śr, 2024-10-09 06:00 UTC)383 cm (cz, 2024-10-10 06:00 UTC),-,52.0364,15.0786
151160130,Ścinawa,Odra (1),,304 cm,pn, 2024-10-07 20:20 UTC,,-,9 cm,16 cm,19 cm,14 cm,350 cm,400 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,lubiński,-46 cm,-96 cm,298 cm,-,308 cm (wt, 2024-10-08 06:00 UTC)299 cm (śr, 2024-10-09 06:00 UTC)289 cm (cz, 2024-10-10 06:00 UTC),-,51.4089,16.4433
151220080,Tchórzew,Tyśmienica (248),,313 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,3 cm,4 cm,-1 cm,350 cm,400 cm,Tyśmienica,lubelskie,radzyński,-37 cm,-87 cm,158 cm,-,-,-,51.6792,22.5561
151180150,Widawa,Nieciecz (18292),,152 cm,pn, 2024-10-07 20:10 UTC,,0 cm,1 cm,3 cm,1 cm,-5 cm,-,-,Widawka,łódzkie,łaski,-,-,72 cm,-,-,-,51.4383,18.9467
153140020,Widuchowa,Odra (1),,586 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-7 cm,-18 cm,630 cm,650 cm,-,zachodniopomorskie,gryfiński,-44 cm,-64 cm,158 cm,587 cm (wt, 2024-10-08 06:00 UTC)580 cm (śr, 2024-10-09 06:00 UTC),586 cm (wt, 2024-10-08 06:00 UTC)581 cm (śr, 2024-10-09 06:00 UTC),-,53.1225,14.3819
154220070,Wólka,Jez. Rospuda Filipowska (Netta) (2622),,395 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,0 cm,-,-,Netta,podlaskie,suwalski,-,-,30 cm,-,-,-,54.2039,22.6167
150220120,Zakłodzie,Pór (24174),,149 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-2 cm,0 cm,190 cm,230 cm,Wieprz,lubelskie,zamojski,-41 cm,-81 cm,103 cm,-,-,-,50.7575,22.86
151190110,Zawada,Wolbórka (2546),,160 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-2 cm,-2 cm,0 cm,-,-,Pilica,łódzkie,tomaszowski,-,-,85 cm,-,-,-,51.53,19.9428
151150080,Żagań,Bóbr (16),,310 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,0 cm,-3 cm,14 cm,340 cm,400 cm,Bóbr,lubuskie,żagański,-30 cm,-90 cm,176 cm,-,310 cm (wt, 2024-10-08 06:00 UTC)307 cm (śr, 2024-10-09 06:00 UTC)304 cm (cz, 2024-10-10 06:00 UTC),-,51.6181,15.3158
150190310,Balice,Rudawa (2136),,244 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,1 cm,1 cm,-1 cm,340 cm,380 cm,Wisła od Przemszy do Dunajca,małopolskie,krakowski,-96 cm,-136 cm,28 cm,-,-,-,50.0931,19.8067
150150040,Barcinek,Kamienica (163332),,46 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-2 cm,-6 cm,80 cm,110 cm,Bóbr,dolnośląskie,karkonoski,-34 cm,-64 cm,38 cm,-,-,-,50.9439,15.6039
150160220,Bardo,Nysa Kłodzka (12),,118 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-1 cm,-3 cm,-9 cm,180 cm,250 cm,Nysa Kłodzka,dolnośląskie,ząbkowicki,-62 cm,-132 cm,80 cm,-,116 cm (wt, 2024-10-08 06:00 UTC)115 cm (śr, 2024-10-09 06:00 UTC)118 cm (cz, 2024-10-10 06:00 UTC),-,50.5044,16.7397
153190040,Bągart,Elbląg (54),,692 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-1 cm,790 cm,800 cm,Elbląg,pomorskie,malborski,-98 cm,-108 cm,120 cm,-,-,-,53.9661,19.3692
153220280,Białobrzegi,Netta (2622),,131 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,0 cm,-1 cm,200 cm,240 cm,Netta,podlaskie,augustowski,-69 cm,-109 cm,73 cm,-,-,-,53.8042,22.9664
154150050,Białogard,Parsęta (44),,90 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,1 cm,0 cm,270 cm,290 cm,Parsęta,zachodniopomorskie,białogardzki,-180 cm,-200 cm,64 cm,-,-,-,54.0031,15.9764
154160020,Białogórzyno,Radew (448),,78 cm,pn, 2024-10-07 20:20 UTC,,-,-1 cm,-1 cm,0 cm,-2 cm,190 cm,210 cm,Parsęta,zachodniopomorskie,białogardzki,-112 cm,-132 cm,46 cm,-,-,-,54.0625,16.1167
152190100,Bielawy,Mroga (27234),,269 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,3 cm,5 cm,-1 cm,310 cm,360 cm,Bzura,łódzkie,łowicki,-41 cm,-91 cm,81 cm,-,-,-,52.0736,19.65
150190140,Bieruń Nowy,Wisła (2),,109 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,-1 cm,-2 cm,220 cm,330 cm,Wisła do Przemszy (Mała Wisła),śląskie,bieruńsko-lędziński,-111 cm,-221 cm,67 cm,-,110 cm (wt, 2024-10-08 06:00 UTC)109 cm (śr, 2024-10-09 06:00 UTC)109 cm (cz, 2024-10-10 06:00 UTC),-,50.0647,19.1936
150220110,Biłgoraj,Łada (2286),,80 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,-1 cm,1 cm,180 cm,220 cm,Tanew,lubelskie,biłgorajski,-100 cm,-140 cm,24 cm,-,-,-,50.5422,22.7153
150200070,Biskupice,Szreniawa (21392),,322 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,1 cm,-1 cm,-7 cm,410 cm,450 cm,Wisła od Przemszy do Dunajca,małopolskie,proszowicki,-88 cm,-128 cm,102 cm,-,-,-,50.1775,20.4992
152150100,Bledzew,Obra (1878),,121 cm,pn, 2024-10-07 20:20 UTC,,-,2 cm,3 cm,-1 cm,-4 cm,200 cm,220 cm,Obra,lubuskie,międzyrzecki,-79 cm,-99 cm,76 cm,-,-,-,52.5175,15.4211
150150130,Błażkowa,Bóbr (16),,94 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-2 cm,-2 cm,150 cm,180 cm,Bóbr,dolnośląskie,kamiennogórski,-56 cm,-86 cm,49 cm,-,93 cm (wt, 2024-10-08 06:00 UTC)93 cm (śr, 2024-10-09 06:00 UTC)93 cm (cz, 2024-10-10 06:00 UTC),-,50.7394,15.9864
153180050,Błędno,Wda (294),,108 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,0 cm,-1 cm,-,-,Wda,pomorskie,starogardzki,-,-,66 cm,-,-,-,53.7017,18.3472
