Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
151160190,Jarnołtów,Bystrzyca (134),,214 cm,cz, 2024-10-03 19:00 UTC,,-,4 cm,8 cm,10 cm,-7 cm,230 cm,270 cm,Bystrzyca,dolnośląskie,Wrocław,-16 cm,-56 cm,204 cm,-,215 cm (pt, 2024-10-04 06:00 UTC)214 cm (sb, 2024-10-05 06:00 UTC)214 cm (nd, 2024-10-06 06:00 UTC),-,51.1217,16.8428
150170080,Jarnołtówek,Złoty Potok (117644),,92 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-2 cm,-2 cm,6 cm,120 cm,170 cm,Odra od Kłodnicy do Małej Panwi,opolskie,nyski,-28 cm,-78 cm,31 cm,-,-,-,50.2858,17.4281
153200030,Kalisty,Pasłęka (56),,108 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,3 cm,3 cm,170 cm,190 cm,Pasłęka,warmińsko-mazurskie,olsztyński,-62 cm,-82 cm,82 cm,-,-,-,53.9172,20.1958
152160090,Kościan,Kanał Mosiński (1856),,167 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,1 cm,6 cm,180 cm,210 cm,Kanał Mosiński,wielkopolskie,kościański,-13 cm,-43 cm,164 cm,-,-,-,52.09,16.6442
153180060,Krąplewice,Wda (294),,147 cm,cz, 2024-10-03 19:00 UTC,,-,19 cm,51 cm,4 cm,21 cm,220 cm,280 cm,Wda,kujawsko-pomorskie,świecki,-73 cm,-133 cm,129 cm,-,-,-,53.4894,18.3808
152200090,Krubice,Utrata (2728),,162 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,2 cm,1 cm,220 cm,280 cm,Bzura,mazowieckie,warszawski zachodni,-58 cm,-118 cm,102 cm,-,-,-,52.2397,20.4517
151170010,Krzyżanowice,Widawa (136),,136 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,0 cm,2 cm,150 cm,200 cm,Widawa,dolnośląskie,trzebnicki,-14 cm,-64 cm,110 cm,-,135 cm (pt, 2024-10-04 06:00 UTC)134 cm (sb, 2024-10-05 06:00 UTC)130 cm (nd, 2024-10-06 06:00 UTC),-,51.1711,17.0475
153220230,Kulesze-Chobotki,Nereśl (2618),,269 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,-1 cm,-1 cm,-2 cm,330 cm,360 cm,Narew do Biebrzy,podlaskie,moniecki,-61 cm,-91 cm,154 cm,-,-,-,53.2417,22.7647
150160070,Lubachów,Bystrzyca (134),,185 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,1 cm,0 cm,1 cm,210 cm,230 cm,Bystrzyca,dolnośląskie,świdnicki,-25 cm,-45 cm,102 cm,-,136 cm (pt, 2024-10-04 06:00 UTC)112 cm (sb, 2024-10-05 06:00 UTC)112 cm (nd, 2024-10-06 06:00 UTC),-,50.7658,16.4311
150160090,Łażany,Strzegomka (1348),,177 cm,cz, 2024-10-03 19:00 UTC,,-,-2 cm,-3 cm,-21 cm,26 cm,200 cm,240 cm,Bystrzyca,dolnośląskie,świdnicki,-23 cm,-63 cm,96 cm,-,173 cm (pt, 2024-10-04 06:00 UTC)173 cm (sb, 2024-10-05 06:00 UTC)173 cm (nd, 2024-10-06 06:00 UTC),-,50.9531,16.4925
151170040,Łąki,Barycz (14),,223 cm,cz, 2024-10-03 18:50 UTC,,0 cm,0 cm,-1 cm,-6 cm,1 cm,280 cm,310 cm,Barycz,dolnośląskie,milicki,-57 cm,-87 cm,179 cm,-,236 cm (pt, 2024-10-04 06:00 UTC)235 cm (sb, 2024-10-05 06:00 UTC)238 cm (nd, 2024-10-06 06:00 UTC),-,51.4931,17.1464
152180100,Łysek,Noteć (188),,153 cm,cz, 2024-10-03 17:30 UTC,,0 cm,0 cm,1 cm,-,3 cm,-,-,Noteć do Noteci Zachodniej,wielkopolskie,koniński,-,-,91 cm,-,-,-,52.4067,18.5039
151220050,Młyniska,Minina (2492),,160 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,0 cm,0 cm,-2 cm,-,-,Wieprz,lubelskie,lubartowski,-,-,72 cm,-,-,-,51.5428,22.3867
153170100,Nakło-Zachód,Noteć (188),,289 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,1 cm,2 cm,320 cm,360 cm,Noteć od Noteci Zachodniej do Łobżonki,kujawsko-pomorskie,nakielski,-31 cm,-71 cm,117 cm,-,-,-,53.1236,17.5622
150170120,Niemodlin,Ścinawa Niemodlińska (128),,267 cm,cz, 2024-10-03 19:00 UTC,,-,-2 cm,0 cm,2 cm,11 cm,320 cm,350 cm,Nysa Kłodzka,opolskie,opolski,-53 cm,-83 cm,63 cm,-,-,-,50.6456,17.6244
151150150,Nowa Sól,Odra (1),,364 cm,cz, 2024-10-03 18:30 UTC,,-1 cm,-3 cm,-5 cm,-12 cm,-42 cm,400 cm,450 cm,Odra od Baryczy do Bobru,lubuskie,nowosolski,-36 cm,-86 cm,298 cm,351 cm (pt, 2024-10-04 06:00 UTC)344 cm (sb, 2024-10-05 06:00 UTC),355 cm (pt, 2024-10-04 06:00 UTC)347 cm (sb, 2024-10-05 06:00 UTC)344 cm (nd, 2024-10-06 06:00 UTC),-,51.8022,15.7217
151170080,Odolanów,Kuroch (1414),,133 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,2 cm,7 cm,160 cm,190 cm,Barycz,wielkopolskie,ostrowski,-27 cm,-57 cm,69 cm,-,-,-,51.5783,17.6703
152180130,Otłoczynek,Tążyna (2796),,86 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,0 cm,5 cm,-,-,Wisła od Zgłowiączki do Drwęcy,kujawsko-pomorskie,aleksandrowski,-,-,66 cm,-,-,-,52.8975,18.69
151220120,Parczew,Piwonia (2482),,212 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,0 cm,5 cm,-,-,Tyśmienica,lubelskie,parczewski,-,-,132 cm,-,-,-,51.6475,22.9081
151160100,Piątnica,Kaczawa (138),,192 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,1 cm,5 cm,300 cm,370 cm,Kaczawa,dolnośląskie,legnicki,-108 cm,-178 cm,102 cm,-,191 cm (pt, 2024-10-04 06:00 UTC)191 cm (sb, 2024-10-05 06:00 UTC)191 cm (nd, 2024-10-06 06:00 UTC),-,51.2278,16.1992
152230020,Porosiuki,Krzna (267144),,172 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,1 cm,1 cm,-,-,Krzna,lubelskie,bialski,-,-,102 cm,-,-,-,52.02,23.0586
150170110,Prudnik,Prudnik (11764),,126 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,0 cm,3 cm,180 cm,230 cm,Odra od Kłodnicy do Małej Panwi,opolskie,prudnicki,-54 cm,-104 cm,56 cm,-,-,-,50.3194,17.5886
151160160,Rydzyna,Polski Rów (148),,158 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,1 cm,2 cm,1 cm,200 cm,240 cm,Barycz,wielkopolskie,leszczyński,-42 cm,-82 cm,91 cm,-,-,-,51.7828,16.6689
151160080,Rzeszotary,Czarna Woda (1386),,179 cm,cz, 2024-10-03 19:00 UTC,,-,2 cm,3 cm,3 cm,6 cm,200 cm,230 cm,Kaczawa,dolnośląskie,legnicki,-21 cm,-51 cm,112 cm,-,180 cm (pt, 2024-10-04 06:00 UTC)178 cm (sb, 2024-10-05 06:00 UTC)178 cm (nd, 2024-10-06 06:00 UTC),-,51.2489,16.1447
153200050,Sarnowo,Szkotówka (2682),,116 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,2 cm,5 cm,-,-,-,Wkra,warmińsko-mazurskie,nidzicki,-,-,81 cm,-,-,-,53.2689,20.2464
150170140,Skorogoszcz,Nysa Kłodzka (12),,166 cm,cz, 2024-10-03 19:00 UTC,,-,5 cm,-2 cm,-3 cm,-1 cm,250 cm,280 cm,Nysa Kłodzka,opolskie,opolski,-84 cm,-114 cm,165 cm,-,162 cm (pt, 2024-10-04 06:00 UTC)170 cm (sb, 2024-10-05 06:00 UTC)170 cm (nd, 2024-10-06 06:00 UTC),-,50.7619,17.675
150150200,Sosnówka,Sośniak (16288832),,22 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,-1 cm,2 cm,60 cm,80 cm,Bóbr,dolnośląskie,karkonoski,-38 cm,-58 cm,20 cm,-,-,-,50.8222,15.7192
153140050,Szczecin Most Długi,Odra (1),,569 cm,cz, 2024-10-03 19:00 UTC,,-,1 cm,4 cm,10 cm,21 cm,570 cm,600 cm,Odra od Odry Zachodniej do Iny,zachodniopomorskie,Szczecin,-1 cm,-31 cm,144 cm,558 cm (cz, 2024-10-03 06:00 UTC)565 cm (pt, 2024-10-04 06:00 UTC)548 cm (sb, 2024-10-05 06:00 UTC),-,-,53.4225,14.5597
151160130,Ścinawa,Odra (1),,295 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,0 cm,-3 cm,-7 cm,350 cm,400 cm,Odra od Nysy Kłodzkiej do Baryczy,dolnośląskie,lubiński,-55 cm,-105 cm,289 cm,-,290 cm (pt, 2024-10-04 06:00 UTC)293 cm (sb, 2024-10-05 06:00 UTC)294 cm (nd, 2024-10-06 06:00 UTC),-,51.4089,16.4433
153140010,Świnoujście,Morze Bałtyckie (0),,545 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-2 cm,-1 cm,19 cm,560 cm,580 cm,Cieśnina Świna,zachodniopomorskie,Świnoujście,-15 cm,-35 cm,179 cm,546 cm (cz, 2024-10-03 06:00 UTC)527 cm (pt, 2024-10-04 06:00 UTC)515 cm (sb, 2024-10-05 06:00 UTC),-,-,53.9083,14.2644
151180150,Widawa,Nieciecz (18292),,147 cm,cz, 2024-10-03 18:50 UTC,,0 cm,0 cm,-1 cm,-2 cm,-2 cm,-,-,Widawka,łódzkie,łaski,-,-,67 cm,-,-,-,51.4383,18.9467
151160070,Winnica,Nysa Szalona (1384),,76 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-1 cm,-1 cm,1 cm,80 cm,100 cm,Kaczawa,dolnośląskie,legnicki,-4 cm,-24 cm,70 cm,-,-,-,51.1117,16.0936
153140060,Wolin,Cieśnina Dziwna (35),,553 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,-1 cm,7 cm,23 cm,560 cm,580 cm,Cieśnina Dziwna,zachodniopomorskie,kamieński,-7 cm,-27 cm,129 cm,-,-,-,53.8381,14.6167
154220070,Wólka,Jez. Rospuda Filipowska (Netta) (2622),,396 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,-1 cm,0 cm,0 cm,-,-,Netta,podlaskie,suwalski,-,-,31 cm,-,-,-,54.2039,22.6167
150220120,Zakłodzie,Pór (24174),,138 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,0 cm,0 cm,190 cm,230 cm,Wieprz,lubelskie,zamojski,-52 cm,-92 cm,92 cm,-,-,-,50.7575,22.86
151190110,Zawada,Wolbórka (2546),,158 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,4 cm,2 cm,-,-,Pilica,łódzkie,tomaszowski,-,-,83 cm,-,-,-,51.53,19.9428
151150080,Żagań,Bóbr (16),,316 cm,cz, 2024-10-03 19:00 UTC,,-,2 cm,4 cm,0 cm,1 cm,340 cm,400 cm,Bóbr,lubuskie,żagański,-24 cm,-84 cm,182 cm,-,300 cm (pt, 2024-10-04 06:00 UTC)305 cm (sb, 2024-10-05 06:00 UTC)305 cm (nd, 2024-10-06 06:00 UTC),-,51.6181,15.3158
154190080,Żukowo,Jez.Druzno (5459999),,562 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,1 cm,3 cm,7 cm,-,-,Elbląg,warmińsko-mazurskie,elbląski,-,-,122 cm,-,-,-,54.1028,19.4508
150190310,Balice,Rudawa (2136),,244 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,-2 cm,5 cm,340 cm,380 cm,Wisła od Przemszy do Dunajca,małopolskie,krakowski,-96 cm,-136 cm,28 cm,-,-,-,50.0931,19.8067
150150040,Barcinek,Kamienica (163332),,45 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-2 cm,-4 cm,11 cm,80 cm,110 cm,Bóbr,dolnośląskie,karkonoski,-35 cm,-65 cm,37 cm,-,-,-,50.9439,15.6039
150160220,Bardo,Nysa Kłodzka (12),,112 cm,cz, 2024-10-03 19:00 UTC,,-,-1 cm,-1 cm,-1 cm,2 cm,180 cm,250 cm,Nysa Kłodzka,dolnośląskie,ząbkowicki,-68 cm,-138 cm,74 cm,-,111 cm (pt, 2024-10-04 06:00 UTC)110 cm (sb, 2024-10-05 06:00 UTC)116 cm (nd, 2024-10-06 06:00 UTC),-,50.5044,16.7397
153190040,Bągart,Elbląg (54),,697 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,2 cm,3 cm,790 cm,800 cm,Elbląg,pomorskie,malborski,-93 cm,-103 cm,125 cm,-,-,-,53.9661,19.3692
153220280,Białobrzegi,Netta (2622),,135 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,0 cm,1 cm,6 cm,200 cm,240 cm,Netta,podlaskie,augustowski,-65 cm,-105 cm,77 cm,-,-,-,53.8042,22.9664
154150050,Białogard,Parsęta (44),,89 cm,cz, 2024-10-03 19:00 UTC,,-,0 cm,-1 cm,-1 cm,1 cm,270 cm,290 cm,Parsęta,zachodniopomorskie,białogardzki,-181 cm,-201 cm,63 cm,-,-,-,54.0031,15.9764
